Line #,Name,Description,Designator,Revision ID,Revision Status,Quantity,Manufacturer 1,Manufacturer Part Number 1,Manufacturer Lifecycle 1,Supplier 1,Supplier Part Number 1,Supplier Unit Price 1,Supplier Subtotal 1

"","0.1 uF Capacitator","Ceramic Capacitor, Multilayer, Ceramic, 10V, 10% +Tol, 10% -Tol, X7R, 15% TC, 0.1uF, Surface Mount, 0402","C1, C2, C3, C4, C5, C6, C7, C8, C9, C10, C11, C12, C13, C14, C15, C16","CMP-001-00084-1","Up to date","16","Samsung","CL05B104KP5NNNC","Volume Production","Mouser","187-CL05B104KP5NNNC","0.009","0.144"
"","1 uF Capacitator","Ceramic Capacitor, Multilayer, Ceramic, 16V, 10% +Tol, 10% -Tol, X7R, 15% TC, 1uF, Surface Mount, 0603","C17, C18, C19, C20, C21, C22, C23, C24, C25, C26, C27, C28, C29, C30, C31, C32, C33, C34, C35","CMP-001-00085-1","Up to date","19","Yageo","CC0603KRX7R7BB105","Volume Production","Mouser","603-CC603KRX7R7BB105","0.04","0.76"
"","ICU-20201","Integrated Circuit","IC1, IC2, IC3, IC4, IC5, IC6, IC7, IC8, IC9, IC10, IC11, IC12, IC13, IC14, IC15, IC16","","","16","TDK InvenSense","ICU-20201","Unknown","Digikey","1428-ICU-20201CT-ND","12.2","195.17"
"","12 Pin Ribbon Connector","Conn FFC/FPC Connector SKT 12 POS 0.5mm Solder RA SMD Easy-On™ T/R","J1","CMP-002-00072-1","Up to date","1","Molex","505110-1292","Unknown","Mouser","538-505110-1292","0.74","0.74"
"","64-Pin Connector","Board Connector, 64 Contact(s), 2 Row(s), Male, Right Angle, 0.1 inch Pitch, Solder Terminal, Locking, Black Insulator, Plug","P1","CMP-002-00073-1","Up to date","1","Wurth Electronics","61306421021","Volume Production","Mouser","710-61306421021","2.85","2.85"
"","2 Pin Header","Board Connector, 2 Contact(s), 1 Row(s), Male, Straight, 0.1 inch Pitch, Solder Terminal, Locking, Black Insulator, Plug","P2","CMP-002-00080-1","Up to date","1","Wurth Electronics","61300211121","Volume Production","Mouser","710-61300211121","0.13","0.13"
"","3 Pin Header Male","Board Connector, 3 Contact(s), 1 Row(s), Male, Straight, 0.1 inch Pitch, Solder Terminal, Locking, Black Insulator, Plug","P3","CMP-002-00081-1","Up to date","1","Wurth Electronics","61300311121","Volume Production","Digikey","732-5316-ND","0.13","0.13"
"","8 Dip Switch","Slide Dip Switch, 8 Switches, SPST, Latched, 0.025A, 24VDC, Solder Terminal, Surface Mount-straight","SW1, SW2, SW3, SW4, SW5, SW6","CMP-002-00077-1","Up to date","6","TE Connectivity","1-1571983-1","Unknown","Mouser","506-GDH08STR04","3.29","19.74"
"","4 DIP SWITCH Surface Mount","Slide Dip Switch, 4 Switches, SPST, Off-on, Latched, 0.025A, 24VDC, Solder Terminal, Surface Mount-straight","SW8","CMP-002-00079-1","Up to date","1","CTS","218-4LPSTR","Volume Production","Mouser","774-2184LPSTR","1.32","1.32"
"","3.3V -> 1.8V LDO","Fixed Positive LDO Regulator, 1.8V, 0.5V Dropout, BICMOS, PDSO6","U1","CMP-019-00049-1","Up to date","1","Texas Instruments","TPS73718DCQR","Volume Production","Digikey","296-22889-1-ND","1.33","1.33"
