Altium Designer Pick and Place Locations
C:\Users\Public\Documents\Altium\ICU-20201 BreakoutBoard\Project Outputs for ICU-20201 BreakoutBoard\Pick Place for PCB1.txt

========================================================================================================================
File Design Information:

Date:       06/11/24
Time:       10:11
Revision:   d3e9322b1dafa481b9e777c2141c8b9647e4e78d
Variant:    No variations
Units used: mm

Designator Comment                      Layer    Footprint          Center-X(mm) Center-Y(mm) Rotation Description                                                                                                                    
P3         "3 Pin Header Male"          TopLayer 61300311121        87.8840      11.5570      90       "Board Connector, 3 Contact(s), 1 Row(s), Male, Straight, 0.1 inch Pitch, Solder Terminal, Locking, Black Insulator, Plug"     
P2         "2 Pin Header"               TopLayer 61300211121        128.6510     13.3350      0        "Board Connector, 2 Contact(s), 1 Row(s), Male, Straight, 0.1 inch Pitch, Solder Terminal, Locking, Black Insulator, Plug"     
C35        "1 uF Capacitator"           TopLayer FP-CC0603-DA-IPC_B 94.7420      14.2660      90       "Ceramic Capacitor, Multilayer, Ceramic, 16V, 10% +Tol, 10% -Tol, X7R, 15% TC, 1uF, Surface Mount, 0603"                       
C34        "1 uF Capacitator"           TopLayer FP-CC0603-DA-IPC_B 91.8210      18.7960      90       "Ceramic Capacitor, Multilayer, Ceramic, 16V, 10% +Tol, 10% -Tol, X7R, 15% TC, 1uF, Surface Mount, 0603"                       
C33        "1 uF Capacitator"           TopLayer FP-CC0603-DA-IPC_B 112.6490     20.5740      0        "Ceramic Capacitor, Multilayer, Ceramic, 16V, 10% +Tol, 10% -Tol, X7R, 15% TC, 1uF, Surface Mount, 0603"                       
U1         "3.3V -> 1.8V LDO"           TopLayer DCQ0006A_N         107.0610     15.7480      270      "Fixed Positive LDO Regulator, 1.8V, 0.5V Dropout, BICMOS, PDSO6"                                                              
J1         "12 Pin Ribbon Connector"    TopLayer FP-505110-1292-MFG 265.1170     11.0490      90       "Conn FFC/FPC Connector SKT 12 POS 0.5mm Solder RA SMD Easy-On™ T/R"                                                           
P1         "64-Pin Connector"           TopLayer 61306421021        136.7690     8.1280       0        "Board Connector, 64 Contact(s), 2 Row(s), Male, Right Angle, 0.1 inch Pitch, Solder Terminal, Locking, Black Insulator, Plug" 
SW8        "4 DIP SWITCH Surface Mount" TopLayer FP-218-4LPSTR-MFG  249.8090     11.1760      0        "Slide Dip Switch, 4 Switches, SPST, Off-on, Latched, 0.025A, 24VDC, Solder Terminal, Surface Mount-straight"                  
SW6        "8 Dip Switch"               TopLayer FP-1-1571983-1-MFG 52.8955      12.7000      0        "Slide Dip Switch, 8 Switches, SPST, Latched, 0.025A, 24VDC, Solder Terminal, Surface Mount-straight"                          
SW5        "8 Dip Switch"               TopLayer FP-1-1571983-1-MFG 30.0990      12.7000      0        "Slide Dip Switch, 8 Switches, SPST, Latched, 0.025A, 24VDC, Solder Terminal, Surface Mount-straight"                          
SW4        "8 Dip Switch"               TopLayer FP-1-1571983-1-MFG 214.0585     11.0490      0        "Slide Dip Switch, 8 Switches, SPST, Latched, 0.025A, 24VDC, Solder Terminal, Surface Mount-straight"                          
SW3        "8 Dip Switch"               TopLayer FP-1-1571983-1-MFG 195.5800     11.0490      0        "Slide Dip Switch, 8 Switches, SPST, Latched, 0.025A, 24VDC, Solder Terminal, Surface Mount-straight"                          
SW2        "8 Dip Switch"               TopLayer FP-1-1571983-1-MFG 232.5370     11.0490      0        "Slide Dip Switch, 8 Switches, SPST, Latched, 0.025A, 24VDC, Solder Terminal, Surface Mount-straight"                          
SW1        "8 Dip Switch"               TopLayer FP-1-1571983-1-MFG 75.6920      12.7000      0        "Slide Dip Switch, 8 Switches, SPST, Latched, 0.025A, 24VDC, Solder Terminal, Surface Mount-straight"                          
IC16       ICU-20201                    TopLayer ICU20201           264.2770     26.5810      180      "Integrated Circuit"                                                                                                           
IC15       ICU-20201                    TopLayer ICU20201           247.2770     26.5810      180      "Integrated Circuit"                                                                                                           
IC14       ICU-20201                    TopLayer ICU20201           230.2770     26.5810      180      "Integrated Circuit"                                                                                                           
IC13       ICU-20201                    TopLayer ICU20201           213.2770     26.5810      180      "Integrated Circuit"                                                                                                           
IC12       ICU-20201                    TopLayer ICU20201           196.2770     26.5810      180      "Integrated Circuit"                                                                                                           
